create_date,App number,Country,Cost
7/14/2022,28565,PH,"32,00"
7/14/2022,28565,BK,"22,33"
7/14/2022,21807,KZ,"2 708,67"
7/14/2022,21807,UA,"1 804,33"
7/14/2022,21807,PH,"3 642,33"
7/14/2022,21807,BK,"10 475,33"
7/14/2022,28588,BT,"950,00"
7/14/2022,28588,KZ,"3 002,00"
7/14/2022,28588,KO,"429,33"
7/14/2022,28588,PE,"1 709,67"
7/14/2022,28588,PT,"326,00"
7/14/2022,28588,PH,"3 783,67"
7/14/2022,28588,BK,"3 098,00"
7/14/2022,28588,MD,"103,00"
7/14/2022,21276,MD,"1 666,67"
7/14/2022,21511,PL,"757,33"
7/14/2022,21511,PH,"4 192,00"
7/14/2022,21511,BK,"6 486,67"
7/14/2022,21511,CZ,"970,33"
7/14/2022,21511,LT,"895,33"
7/14/2022,28588,KZ,"110,33"
7/14/2022,21588,PH,"1 382,67"
7/14/2022,28875,GE,"471,67"
7/14/2022,28875,KZ,"1 228,00"
7/14/2022,28875,PL,"130,00"
7/14/2022,28875,UA,"925,67"
7/14/2022,28875,BK,"3 975,00"
7/14/2022,28875,MD,"4 235,67"
7/14/2022,25171,UA,"1 614,67"
7/14/2022,25171,PH,"1 665,67"
7/14/2022,25171,BK,"947,00"
7/14/2022,21168,MD,"4 667,67"
7/14/2022,21286,KZ,"4 299,00"
7/14/2022,21286,CL,"344,33"
7/14/2022,21286,PE,"282,67"
7/14/2022,21286,PH,"7 086,33"
7/14/2022,21286,BK,"1 349,33"
7/14/2022,21286,MD,"684,00"
7/14/2022,21875,PH,"1 835,00"
7/14/2022,21875,BK,"1 556,33"
7/14/2022,8118,BK,"606,00"
7/14/2022,21858,PH,"801,33"
7/14/2022,21858,BK,"1 638,00"
7/14/2022,21881,KZ,"930,33"
7/14/2022,21881,UA,"1 128,33"
7/14/2022,21218,KZ,"566,67"
7/14/2022,21218,PH,"1 154,33"
7/14/2022,21815,UA,"574,33"
7/14/2022,21815,PH,"159,67"
7/14/2022,21815,BK,"267,33"
7/14/2022,10501,PH,"161,00"
7/14/2022,25158,PH,"333,67"
7/14/2022,21516,KZ,"9,00"
7/13/2022,28565,PH,"412,00"
7/13/2022,28565,BK,"872,00"
7/13/2022,21807,UA,"951,33"
7/13/2022,21807,PH,"4 682,00"
7/13/2022,21807,BK,"9 193,67"
7/13/2022,28588,BT,"1 495,67"
7/13/2022,28588,KZ,"2 403,67"
7/13/2022,28588,CL,"668,67"
7/13/2022,28588,PE,"1 094,33"
7/13/2022,28588,PT,"2 070,67"
7/13/2022,28588,PH,"3 669,00"
7/13/2022,28588,BK,"3 139,33"
7/13/2022,21276,KZ,"448,33"
7/13/2022,21276,PL,"450,67"
